product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,display_category_id,soldout,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
0JTS6A813G1,[SET] [NEW YORK SWEAT] UrbanShell 후드티 & 와이드핏 팬츠 셋업 - 라이트그레이,질스튜어트 뉴욕 세트,0J,1017,1,[26SS],봄,1,0,0,0,0,560000,453600,19,0,0,1,5.0,110219,False,38,0,0,0,,19,밝은 그레이:19,남성의류,수트/셋업,캐주얼 셋업
JNSH5D301I2,드레쥴러 코듀로이 자켓 - 베이지,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,590000,353110,40,0,0,0,0.0,20110219,False,22,0,0,7,"M (100):2, L (105):2, XL (110):3",7,베이지:7,남성의류,셔츠,긴팔캐쥬얼셔츠
JNPA5C183I2,[THE TWILL] [LOUNGE-FIT]  트윌 플리츠 셋업 팬츠 - 베이지,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],"여름, 가을, 겨울",0,1,1,1,0,350000,209470,40,0,0,1,4.0,110219,False,82,0,0,30,"78 (30):7, 82 (32):6, 86 (34):9, 90 (36):5, 94 (38):3",47,"블랙:17, 베이지:30",남성의류,팬츠,롱팬츠
JNSW5B303BK,블랙 크로쉐 스트라이프 카라 가디건,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,390000,233410,40,0,0,3,5.0,20110219,False,149,0,0,20,"S (95):4, M (100):7, L (105):6, XL (110):3",29,"블랙:20, 밝은 초록:9",남성의류,가디건,기본가디건
WYSW5A002BK,[스테디셀러] 블랙 단색 실크혼방 긴팔카라티셔츠,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],"봄, 여름, 가을",1,1,1,0,0,390000,228150,41,0,0,0,0.0,20110219,False,17,0,0,47,"95:8, 100:20, 105:13, 110:6",82,"블랙:47, 베이지:35",남성의류,티셔츠,긴팔티셔츠
JNTS6A803E1,[NEW YORK SWEAT] UrbanShell 후드티 - 라이트그린,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,270000,243000,10,0,0,2,5.0,110219,False,37,0,0,38,"S (95):6, M (100):14, L (105):11, XL (110):7",79,"블랙:22, 밝은 초록:38, 진한 네이비:19",남성의류,티셔츠,긴팔티셔츠
JNSH6A104N3,소프트 터치 이너 셔츠 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,390000,351000,10,0,0,0,0.0,121322,False,0,0,0,30,"S (95):6, M (100):8, L (105):10, XL (110):6",64,"탁한 블루:34, 진한 네이비:30",남성의류,셔츠,긴팔캐쥬얼셔츠
JNTS6B301WT,[GENTLE JERSEY] 시그니처  카라 티셔츠 - 오프화이트,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],여름,0,1,0,0,0,190000,171000,10,0,0,0,0.0,121281,False,58,0,0,60,"S (95):6, M (100):23, L (105):25, XL (110):6",241,"블랙:64, 차콜 그레이:57, 밝은 베이지:32, 네이비:28, 흰색:60",남성의류,티셔츠,반팔티셔츠
WYPA4D283BK,[클리어런스][스테디셀러] 블랙 턱장식 밴딩팬츠,질 스튜어트 뉴욕 남성,WY,1017,2,[24FW],겨울,0,0,0,1,0,390000,146890,62,0,0,1,5.0,110219,False,89,0,0,3,"30(78cm):0, 32(82cm):1, 34(86cm):0, 36(90cm):1, 38(94cm):1",3,블랙:3,남성의류,팬츠,롱팬츠
JNSW5C102N3,실크 블렌드 하이게이지 카라 니트 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,390000,245700,37,0,0,2,5.0,20110219,False,154,0,0,13,"S (95):2, M (100):6, L (105):1, XL (110):4",55,"블랙:25, 차콜 그레이:17, 진한 네이비:13",남성의류,니트/스웨터,
JNTS5A105G1,라이트그레이 모크넥 반집업 스웻셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],"봄, 여름",1,1,0,0,0,370000,205630,44,0,0,2,4.0,20110219,False,30,0,0,22,"S (95):8, M (100):7, L (105):5, XL (110):2",41,"밝은 그레이:22, 베이지:19",남성의류,티셔츠,긴팔티셔츠
JNSH6A104B5,소프트 터치 이너 셔츠 - 스틸블루,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,390000,351000,10,0,0,0,0.0,121322,False,0,0,0,34,"S (95):7, M (100):9, L (105):12, XL (110):6",64,"탁한 블루:34, 진한 네이비:30",남성의류,셔츠,긴팔캐쥬얼셔츠
JNTS5C801E1,[NEWYORK SWEAT] UrbanShell 스웻셔츠 - 라이트그린,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,250000,157500,37,0,0,12,5.0,110219,False,202,0,0,18,"S (95):4, M (100):4, L (105):4, XL (110):6",73,"블랙:29, 차콜 그레이:11, 밝은 초록:18, 그레이:15",남성의류,티셔츠,긴팔티셔츠
JNJU6A304S2,울라이크 비즈 숏 블루종 - 세피아,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],봄,1,0,0,0,0,690000,621000,10,0,0,0,0.0,110219,False,35,0,0,6,"S (95):0, M (100):2, L (105):3, XL (110):1",12,"블랙:6, 세피아:6",남성의류,점퍼,캐쥬얼점퍼
JNSW6B304IV,실키 크루넥 니트 - 아이보리,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],"여름, 가을",0,1,1,0,0,290000,261000,10,0,0,0,0.0,121346,False,70,0,0,40,"S (95):3, M (100):19, L (105):16, XL (110):2",78,"블랙:21, 밝은 그레이:5, 진한 그레이:8, 아이보리:40, 브라운:4",남성의류,니트/스웨터,
JNSW6A201IV,울 크루넥 니트 - 아이보리,질스튜어트 뉴욕 남성,JN,1017,1,[26SS],"봄, 가을",1,0,1,0,0,390000,351000,10,0,0,1,5.0,121346,False,139,0,0,10,"S (95):4, M (100):2, L (105):3, XL (110):1",22,"블랙:4, 진한 그레이:8, 아이보리:10",남성의류,니트/스웨터,
JNJU5D207T3,캐시미어 블렌드 밴드넥 블루종 - 터콰이즈블루,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,840000,529200,37,0,0,0,0.0,20110219,False,22,0,0,25,"S (95):2, M (100):11, L (105):8, XL (110):4",44,"연핑크:19, 진한 청록:25",남성의류,점퍼,캐쥬얼점퍼
JNSW5C202BK,니트 셋업 팬츠 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,390000,245700,37,0,0,0,0.0,110219,False,60,0,0,5,"S (95):1, M (100):2, L (105):1, XL (110):1",5,블랙:5,남성의류,팬츠,롱팬츠
JNCO5D202R3,캐시미어 블렌드 핸드메이드 발마칸 코트 - 와인,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,1390000,845700,39,0,0,15,5.0,20110219,False,828,0,0,39,"S (95):5, M (100):14, L (105):16, 0XL (110):4",98,"블랙:5, 캐멀:34, 밝은 그레이:16, 진한 네이비:4, 진한 레드:39",남성의류,코트,롱코트
JNTS5B321I1,베이지 Brick pattern 카라 티셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,250000,149620,40,0,0,3,4.7,20110219,False,134,0,0,13,"S (95):1, M (100):4, L (105):5, XL (110):3",34,"밝은 베이지:13, 진한 네이비:21",남성의류,티셔츠,반팔티셔츠
JNTS5A104BK,블랙 피그먼트 다잉 세미오버핏 후드스웻,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],"봄, 여름",1,1,0,0,0,350000,194510,44,0,0,4,5.0,110219,False,33,0,0,26,"S (95):9, M (100):10, L (105):7, XL (110):0",59,"블랙:26, 레드:33",남성의류,티셔츠,긴팔티셔츠
JNSW4D203B2,[클리어런스][Essential] 블루 Regent 퓨어 캐시미어 모크넥 니트,질스튜어트 뉴욕 남성,JN,1017,2,[24FW],겨울,0,0,0,1,0,470000,177030,62,0,0,6,4.7,20110219,False,80,0,0,14,"S (95):1, M (100):6, L (105):4, XL (110):3",15,"블루:14, 블랙:1, 밝은 그레이:0",남성의류,니트/스웨터,
JNSW5D211BK,울 모크넥 니트 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,390000,233410,40,0,0,0,0.0,20110219,False,267,0,0,8,"S (95):5, M (100):2, L (105):0, XL (110):1",26,"블랙:8, 흰색:18",남성의류,니트/스웨터,
