color_code,product_code,product_name,brand_name,source_file
I1,HZSW4F201I1,[클리어런스]베이지 울 니트 트러커,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5B202I1,에센셜 썸머 아이보리 가디건,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5B551I1,베이지 쿨코튼 마이크로 조직 카라 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5B553I1,연베이지 케이블 반팔 카라 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5D321I1,베이지 울혼방 하이넥 집업 가디건,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5D326I1,베이지 울 케이블 하프 집업,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5D361I1,베이지 케이블 니트 베스트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5D405I1,울혼방 부클 아란 터틀 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5F200I1,베이지 가을 면 가디건,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW5F551I1,베이지 와플조직 면혼방 반팔카라니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZSW6B666I1,베이지 크로셰 카라 니트,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS4D005I1,[클리어런스][COLLECTION] Sloane Ranger 그래픽 맨투맨,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS4D431I1,[클리어런스]라이트베이지 긴팔 피케 카라 티셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS5A101I1,베이지 PK조직 카라 가디건,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS5B403I1,[링클프리] 라이트베이지 반팔 피케 티셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS5B436I1,[SOFT COTTON] 베이지 반팔 카라 티셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS5B506I1,[쿨링원단] 오트밀 피케조직 반팔 크루넥 티셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS5D431I1,라이트베이지 긴팔 피케 폴로 셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS6B403I1,[아이코닉] 라이트베이지 피케 폴로셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,HZTS6B410I1,[TORAY Series]베이지 에어닷 폴로셔츠,헤지스 남성,hazzys_men_products_enriched_all.csv
I1,IEJU5E208I1,덱스터 패치워크 트러커 자켓 라이트 베이지,일꼬르소,ilcorso_products_enriched_all.csv
I1,IEPA5E403I1,벤투라 버뮤다 팬츠 크림 베이지,일꼬르소,ilcorso_products_enriched_all.csv
I1,IESW6E101I1,메쉬 니트 후드 집업 라이트 베이지,일꼬르소,ilcorso_products_enriched_all.csv
I1,JNCO5D201I1,캐시미어 블렌드 핸드메이드 싱글 코트 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA4B902I1,[클리어런스][G.B Conte] 라이트베이지 세미오버핏 셋업 자켓,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA4D182I1,[클리어런스]베이지 홈스펀 트윌 셋업 자켓,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA5B305I1,성하 라미 혼방 트윌 단품 자켓,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA5B381I1,[SET UP] [Cool Air Micro Dot] 아이보리 쿨 서머 에어 도트 셋업 자켓,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA5D201I1,울 텍스처 자켓 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA5D202I1,벨루어 자켓 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA5D606I1,퓨어 캐시미어 솔리드 자켓 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA6A281I1,세미오버핏 셋업 자켓 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA6B384I1,[REGGIANI] 울 블렌드 서커 셋업 자켓 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJA6B601I1,[THE TWILL] [GUABELLO] 울린넨 마이크로 체크 자켓 - 라이트베이지,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
I1,JNJU4C102I1,[클리어런스]라이트베이지 디테쳐블 후드 점퍼,질스튜어트 뉴욕 남성,jillstuartnewyork_men_products_enriched_all.csv
