product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3,display_category_id,soldout,source_file,category_code,color_code
JNSW5B318G3,다크그레이 페이퍼  케이블 라운드 니트,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],여름,0,1,0,0,0,320000,191520,40,0,0,2,4.0,91,0,0,20,"S (95):1, M (100):9, L (105):7, XL (110):3",40,"진한 그레이:20, 베이지:20",남성의류,니트/스웨터,,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,SW,G3
JNJU5D501BK,무스탕 라이트웨이트 카라 점퍼 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,2990000,1853700,38,0,0,0,0.0,45,0,0,29,"S (95):4, M (100):6, L (105):13, XL (110):6",29,블랙:29,남성의류,점퍼,무스탕,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,BK
JNTS5C001WT,야자수 프론트 자수 반팔 티셔츠 - 오프화이트,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,190000,119700,37,0,0,7,5.0,123,0,0,17,"S (95):2, M (100):1, L (105):9, XL (110):5",20,"블랙:3, 흰색:17",남성의류,티셔츠,반팔티셔츠,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,TS,WT
WYPA5A002BK,[스테디셀러] 블랙 세미와이드 턱장식 울팬츠,질 스튜어트 뉴욕 남성,WY,1017,2,[25SS],"봄, 여름, 가을",1,1,1,0,0,390000,245700,37,0,0,2,4.5,75,0,0,2,"32(82cm):0, 34(86cm):1, 36(90cm):1, 38(94cm):0",2,블랙:2,남성의류,팬츠,롱팬츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
JNJU5A109K2,카키 인조 스웨이드 트러커,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],봄,1,0,0,0,0,790000,497700,37,0,0,58,4.9,450,0,0,2,"S (95):1, M (100):1, L (105):0, XL (110):0",11,"블랙:3, 베이지:6, 카키:2",남성의류,점퍼,캐쥬얼점퍼,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,JU,K2
JNSH5A103W3,컴펙트 아메리칸 셔츠,질스튜어트 뉴욕 남성,JN,1017,2,[25SS],봄,1,0,0,0,0,490000,272320,44,0,0,0,0.0,0,0,0,30,"S (95):8, M (100):7, L (105):8, XL (110):7",30,진한 브라운:30,남성의류,셔츠,긴팔캐쥬얼셔츠,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,SH,W3
JNPA5C103BK,[RIOPELE] [SEMIWIDE-FIT] 컴포트 슬릿 슬랙스 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],"가을, 겨울",0,0,1,1,0,370000,233100,37,0,0,3,5.0,204,0,0,3,"78 (30):0, 82 (32):0, 86 (34):1, 90 (36):1, 94 (38):1",16,"블랙:3, 진한 세피아:13",남성의류,팬츠,슬랙스,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
JNTS5C102G1,베이직 스트럭쳐 에센셜 스웻셔츠 - 라이트그레이,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,290000,182700,37,0,0,5,4.6,127,0,0,26,"S (95):6, M (100):7, L (105):8, XL (110):5",52,"블랙:15, 밝은 그레이:26, 진한 네이비:11",남성의류,티셔츠,긴팔티셔츠,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,TS,G1
JNPA5C080BK,[Soft Pleats] [LOUNGE-FIT] 플리츠 팬츠 - 블랙,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],가을,0,0,1,0,0,290000,173560,40,0,0,13,4.8,264,0,0,2,"78 (30):0, 82 (32):0, 86 (34):1, 90 (36):0, 94 (38):1",22,"블랙:2, 베이지:8, 진한 청록:12",남성의류,팬츠,롱팬츠,110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,PA,BK
JNCO5D202N3,캐시미어 블렌드 핸드메이드 발마칸 코트 - 다크네이비,질스튜어트 뉴욕 남성,JN,1017,2,[25FW],겨울,0,0,0,1,0,1390000,875700,37,0,0,15,5.0,828,0,0,4,"S (95):0, M (100):0, L (105):1, 0XL (110):3",98,"블랙:5, 캐멀:34, 밝은 그레이:16, 진한 네이비:4, 진한 레드:39",남성의류,코트,롱코트,20110219.0,False,jillstuartnewyork_men_products_enriched_all.csv,CO,N3
