product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
TNTS5E217N2,Stripe Henley Neck T-shirt (Navy),티엔지티,B000,1004,2,,여름,0,1,0,0,0,69000,43470,37,0,0,7,4.7,170,0,7,159,"95:36, 100:56, 105:40, 110:27",297,"카키:138, 네이비:159",남성의류,티셔츠,반팔티셔츠
TNSW5F101W2,Chunky Wool Blended Knit Cardigan (Brown),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,149000,93870,37,0,0,62,4.8,1,0,35,233,"95:68, 100:94, 105:52, 110:19",392,"그레이:69, 네이비:90, 브라운:233",남성의류,가디건,기본가디건
TNTS6E201BK,Kinoshita Seersucker Polo (Black),키노시타 바이 티엔지티,B01M,1004,1,[26SS],"봄, 여름",1,1,0,0,0,69000,65550,5,0,0,0,0.0,0,0,3,502,"095:84, 100:174, 105:160, 110:84",1103,"블랙:502, 베이지:300, 네이비:301",남성의류,티셔츠,반팔티셔츠
TNTS5E212B2,Maison Logo Ringer T-Shirt (Blue),티엔지티,B000,1004,2,,여름,0,1,0,0,0,59000,37170,37,0,0,31,4.8,612,0,4,100,"95:17, 100:44, 105:31, 110:8",217,"블루:100, 크림:117",남성의류,티셔츠,반팔티셔츠
TNSW5F113W2,Contrast Ribbed Knit (Vintage Brown),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,119000,74970,37,0,0,22,4.9,501,0,63,78,"95:13, 100:22, 105:29, 110:14",78,"블루:0, 브라운:78",남성의류,니트/스웨터,
TNSW5F111D2,Ribbed Oversized Polo Knit (Burgundy),티엔지티,B000,1004,2,[25FW],"가을, 겨울",0,0,1,1,0,119000,74970,37,0,0,14,4.9,252,0,34,112,"95:32, 100:42, 105:29, 110:9",249,"와인:112, 그레이:137",남성의류,니트/스웨터,
TNSW5F109D2,Ribbed Oversized Henley-neck Knit (Burgundy),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,109000,68670,37,0,0,40,4.8,1,0,46,1,"95:0, 100:0, 105:1, 110:0",446,"블랙:439, 와인:1, 그레이:6",남성의류,니트/스웨터,
TNPA5E203N2,Cotton Banding Shorts (Navy),티엔지티,B000,1004,2,,"봄, 여름",1,1,0,0,0,69000,43470,37,0,0,14,4.9,288,0,5,103,"078 (30):5, 082 (32):43, 086 (34):36, 090 (36):19",186,"아이보리:83, 네이비:103",남성의류,팬츠,하프팬츠(5부~7부)
TNJU4F107I2,베이지 오버핏 스타디움 바시티 울 자켓,티엔지티,B000,1004,2,[24FW],"가을, 겨울",0,0,1,1,0,239000,100020,58,0,0,6,4.5,139,0,31,176,"95:47, 100:54, 105:41, 110:34",412,"블랙:236, 베이지:176",남성의류,점퍼,캐쥬얼점퍼
TNSW5F102BK,Milano Zip-up Cardigan (Black),티엔지티,B000,1004,2,[25FW],가을,0,0,1,0,0,149000,93870,37,0,0,16,4.7,250,0,46,217,"95:71, 100:91, 105:45, 110:10",362,"블랙:217, 브라운:145",남성의류,가디건,기본가디건
