product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail
ARSW5B701G1,라이트그레이《Ice Cotton》카라넥 스웨터,알레그리,A001,1897,2,[25SS],320000,201600,37,0,0,2,5.0,98,0,6,11,"S (95):6, M (100):2, L (105):3, XL (110):0",35,"밝은 그레이:11, 진한 네이비:8, 흰색:16"
WXPA5B401BK,[스테디셀러] 블랙《ACTIVE Jersey》투 턱 테이퍼드 팬츠,알레그리 남성,WX,1897,2,[25SS],390000,245700,37,0,0,0,0.0,0,0,8,27,"078:3, 082:5, 086:10, 090:6, 094:3",56,"블랙:27, 탁한 네이비:29"
ARTS5B305BK,블랙《New Phase》카라 티셔츠,알레그리,A001,1897,2,[25SS],270000,170100,37,0,0,8,4.9,247,0,5,3,"95:1, 100:2, 105:0, 110:0",60,"블랙:3, 아이보리:10, 진한 네이비:34, 브라운:13"
ARTS5B308BK,블랙《Soft Twill》세미오버 카라 티셔츠,알레그리,A001,1897,2,[25SS],210000,132300,37,0,0,16,4.9,353,0,14,1,"90:1, 95:0, 100:0, 105:0, 110:0",15,"탁한 블루:5, 블랙:1, 밝은 베이지:8, 진한 청록:1"
WXPA5A201I1,[스테디셀러] 베이지 턱장식 팬츠,알레그리 남성,WX,1897,2,[25SS],390000,245700,37,0,0,1,4.0,35,0,9,20,"078:4, 082:6, 086:5, 090:0, 094:3, 098:2",65,"블랙:18, 밝은 베이지:20, 진한 네이비:27"
ARSW4D611W2,[클리어런스]브라운《Prime Cashmere-Gentle》카라넥 스웨터,알레그리,A001,1897,2,[24FW],550000,204930,62,0,0,36,4.7,387,0,13,1,"S (95):0, M (100):0, L (105):0, XL (110):1",2,"밝은 블루:1, 블랙:0, 진한 와인:0, 그레이:0, 아이보리:0, 네이비:0, 브라운:1"
ARTR6A101BK,블랙《X-Lite》[Viaggio] 라이너 트렌치 코트,알레그리,A001,1897,1,[26SS],890000,801000,10,0,0,2,5.0,51,0,25,11,"48 (95):4, 50 (100):3, 52 (105):3, 54 (110):1",14,"블랙:11, 차콜 그레이:3"
ARJU5D702I3,다크베이지《Real Lamb Shearling》무스탕,알레그리,A001,1897,2,[25FW],3500000,2205000,37,0,0,3,5.0,36,0,60,1,"48 (95):0, 50 (100):0, 52 (105):0, 54 (110):1",1,진한 베이지:1
ARPA5A831BK,블랙 테이퍼드 핏 데님 팬츠,알레그리,A001,1897,2,[25SS],490000,286650,41,0,0,0,0.0,58,0,6,6,"78 (30):0, 82 (32):0, 86 (34):0, 90 (36):2, 94 (38):4",6,블랙:6
ARPA4C601CG,[클리어런스]차콜 그레이 ACTIVE 조거 팬츠,알레그리,A001,1897,2,[24FW],350000,126060,63,0,0,1,3.0,27,0,2,3,"78 (30):2, 82 (32):0, 86 (34):1, 90 (36):0, 94 (38):0",9,"블랙:6, 차콜 그레이:3"
ARJA5A122G3,다크 그레이《Herringbone Pattern》FORTEX 2WAY 블레이져,알레그리,A001,1897,2,[25SS],1049000,613660,41,0,0,1,5.0,42,10,8,21,"46 (90):0, 48 (95):2, 50 (100):10, 52 (105):5, 54 (110):2, 056 (115):2",36,"탁한 블루:15, 진한 그레이:21"
ARJU5D300G3,다크그레이《WoolCashmere》핸드메이드 점퍼,알레그리,A001,1897,2,[25FW],890000,560700,37,0,0,5,5.0,105,0,36,22,"48 (95):7, 50 (100):8, 52 (105):4, 54 (110):3",47,"블랙:25, 진한 그레이:22"
0AJA6A147N3,[SET] E.Zegna 다크네이비《TECH TAILORING》 솔리드 수트 셋업,알레그리,0A,1897,1,[26SS],1690000,1521000,10,0,0,0,0.0,25,0,2,0,,9,진한 네이비:9
ARTS5B201L1,라이트 옐로우 그린《LuxCool》레귤러핏 라운드 티셔츠,알레그리,A001,1897,2,[25SS],160000,100800,37,0,0,538,4.8,2,19,5,19,"90:2, 95:5, 100:4, 105:4, 110:4",207,"밝은 블루:23, 진한 블루:31, 연블루:21, 블랙:5, 진한 초록:13, 밝은 그레이:9, 아이보리:6, 밝은 연두:19, MULTI COLOR:17, 네이비:6, 진한 네이비:2, 밝은 핑크:2, 청록:4, 브라운:25, 진한 브라운:9, 흰색:15"
ARSW5D317N2,네이비《Italy Cotton》투톤 라운드 맨투맨,알레그리,A001,1897,2,[25FW],490000,308700,37,0,0,2,5.0,41,0,18,18,"S (95):5, M (100):6, L (105):7",41,"블루:23, 네이비:18"
