product_code,product_name,brand_name,brand_id,brand_group_id,product_sale_type,season,season_name_raw,season_spring,season_summer,season_fall,season_winter,season_all,original_price,sale_price,discount_rate,sale_count,cart_count,review_count,review_score,purchase_count,viewing_count,wish_count,size_total_stock,size_stock_detail,color_total_stock,color_stock_detail,lf_category_l1,lf_category_l2,lf_category_l3
HZTS5F894BK,블랙 쿨링 벤츄리 헨리넥 티셔츠,헤지스 남성,HZ,1002,2,[25FW],하반기,0,0,0,0,0,109000,68670,37,0,0,672,4.8,497,12,64,23,"95:9, 100:10, 105:1, 110:0, 115:3",23,블랙:23,남성의류,티셔츠,반팔티셔츠
HZTS6A103G1,그레이 조직감 오픈 카라 맨투맨,헤지스 남성,HZ,1002,1,[26SS],봄,1,0,0,0,0,199000,138500,30,0,0,3,4.3,173,33,36,45,"S (95):7, M (100):10, L (105):13, XL (110):7, XXL (115):8",77,"밝은 초록:32, 밝은 그레이:45",남성의류,티셔츠,긴팔티셔츠
WHTS4C302I2,[클리어런스][스테디셀러] 베이지 단색 면 긴팔카라티셔츠,헤지스 남성,WH,1002,2,[24FW],가을,0,0,1,0,0,169000,68440,59,0,0,159,4.7,4,19,92,1,"95:0, 100:0, 105:1, 110:0, 115:0, 120:0",72,"블랙:0, 차콜 그레이:25, 진한 와인:46, 베이지:1, 진한 네이비:0",남성의류,티셔츠,긴팔티셔츠
WHPA4D344I2,[클리어런스][스테디셀러] 베이지 단색 면혼방 팬츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,209000,84640,59,0,0,150,4.8,3,37,60,44,"30(78cm):5, 31(80cm):6, 32(82cm):10, 33(84cm):3, 34(86cm):8, 35(88cm):2, 36(92cm):6, 37(94cm):4",111,"그레이:13, 밝은 베이지:23, 베이지:44, 네이비:31",남성의류,팬츠,롱팬츠
WHPA5B251B1,[스테디셀러] 블루 워싱 면혼방 데님팬츠,헤지스 남성,WH,1002,2,[25SS],여름,0,1,0,0,0,219000,137970,37,0,0,7,4.9,546,0,55,79,"30(78cm):13, 31(80cm):7, 32(82cm):17, 33(84cm):11, 34(86cm):16, 35(88cm):8, 36(92cm):6, 37(94cm):1",79,밝은 블루:79,남성의류,데님팬츠,롱
WHSH4D404N2,[클리어런스][스테디셀러] 네이비 스트라이프 면 긴팔캐주얼셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,199000,80590,59,0,0,117,4.8,4,28,69,19,"095:17, 100:2, 105:0, 110:0, 115:0, 120:0",56,"그레이:21, 네이비:19, 브라운:16",남성의류,셔츠,긴팔캐쥬얼셔츠
HZPA5B330I2,[STRAIGHT] 베이지 코튼강연 팬츠,헤지스 남성,HZ,1002,2,[25SS],여름,0,1,0,0,0,199000,120000,39,0,0,221,4.8,10,31,28,535,"74 (29):39, 78 (30):103, 80 (31):60, 82 (32):27, 84 (33):78, 86 (34):53, 88 (35):44, 92 (36):48, 94 (37):32, 98 (38):51",1142,"베이지:535, 밝은 카키:48, 네이비:559",남성의류,팬츠,롱팬츠
HZSH6E201B2,[아이코닉] 블루 옥스포드 셔츠,헤지스 남성,HZ,1002,1,[26SS],"봄, 여름",1,1,0,0,0,189000,131540,30,0,0,19,4.8,1,25,42,48,"S (95):11, M (100):32, L (105):3, XL (110):2, 3XL:0, XXL:0",177,"블루:48, 진한 블루:22, 초록:18, 베이지:23, 청록:14, 밝은 바이올렛:8, 흰색:44",남성의류,셔츠,긴팔캐쥬얼셔츠
WHSH4D502N2,[클리어런스][스테디셀러] 네이비 버튼다운 면 긴팔캐주얼셔츠,헤지스 남성,WH,1002,2,[24FW],겨울,0,0,0,1,0,189000,76540,59,0,0,188,4.8,3,18,140,27,"095:17, 100:10, 105:0, 110:0, 115:0, 120:0",270,"차콜 그레이:48, 크림:82, 진한 와인:113, 네이비:27",남성의류,셔츠,긴팔캐쥬얼셔츠
HZJU5E806N3,워크자켓,헤지스 남성,HZ,1002,2,[25SS],상반기,0,0,0,0,0,259000,163170,37,0,0,131,4.8,1,27,58,15,"S (95):0, M (100):12, L (105):3",15,"그레이:0, 카키:0, 네이비:0, 진한 네이비:15, 오렌지:0",남성의류,점퍼,캐쥬얼점퍼
